provider_party_identifier,hospital_name,medical_practitioner_name,provider_network_tier,cashless_provider_indicator,provider_speciality_type,service_provider_role_type,hospital_billing_contact,treatment_authorization_desk,admission_support_channel
HLTH_PRV_001,Sheila Boone,William Reid,SAVE,HELP,TO,AT,3637454589,MEDICATION,STORY
HLTH_PRV_002,Michael Williams,Richard Stevens,CAPITAL,WOMAN,TOWARD,COACH,7063242415,CHEMOTHERAPY,RED
HLTH_PRV_003,iCarol Sanders,Michael Young,REALITY,BENEFIT,SCORE,BEYOND,3712938700,MEDICATION,RULE
HLTH_PRV_004,iBenjamin Reyes,Ashley Edwards,UPON,FIRM,CERTAIN,IDEA,2189092753,MEDICATION,RIGHT
HLTH_PRV_005,Daniel Mosley,Bryce Blair,HAVE,LAUGH,FORWARD,STRONG,3413899940,MEDICATION,POLICY
HLTH_PRV_006,Nicole Phillips,Steven Blevins,MISS,IMAGINE,BUDGET,EFFECT,9180552696,SURGERY,SOURCE
HLTH_PRV_007,William Jones,Alexis Lewis,WIN,AS,STRATEGY,INFORMATION,8666188924,SURGERY,MUCH
HLTH_PRV_008,Valerie Moore,Kevin Hines,RATE,RESPONSIBILITY,QUESTION,ATTORNEY,6303161799,SURGERY,CALL
HLTH_PRV_009,Chad Smith,Gregory Holmes PhD,EVENT,COMPARE,HOT,CARD,1056481491,MEDICATION,HERE
HLTH_PRV_010,Scott Jackson,Raymond Shannon,REPRESENT,SEVERAL,BUSINESS,DRIVE,0030756220,CHEMOTHERAPY,FUND
HLTH_PRV_011,Thomas Flores,Laura Wilson,REPORT,WEEK,AREA,COUNTRY,8061744518,SURGERY,DEEP
HLTH_PRV_012,Richard Stevenson,Jacob Bonilla,SPRING,STAND,DEAL,SIGNIFICANT,2060385050,PHYSIOTHERAPY,DESCRIBE
HLTH_PRV_013,Cynthia Vasquez,Zachary Dawson,BETTER,ANIMAL,WILL,EACH,5719182619,PHYSIOTHERAPY,RECOGNIZE
HLTH_PRV_014,iCynthia Green,Robert Haynes,SIMPLY,GENERAL,FRIEND,LOCAL,3132912127,PHYSIOTHERAPY,CAMERA
HLTH_PRV_015,Traci Clark,Derek Wilson,COACH,SURFACE,RICH,FLY,3521356804,MEDICATION,INTERVIEW
HLTH_PRV_016,Kristi Pierce,Brian Leon,CAMPAIGN,ACTUALLY,ASSUME,THEN,2365199410,PHYSIOTHERAPY,TABLE
HLTH_PRV_017,Taylor Calderon,Andrew Murray,CONCERN,WINDOW,PAINTING,LEAD,7066253244,MEDICATION,POSITIVE
HLTH_PRV_018,Danielle Phillips,Juan Brown,FAR,IDENTIFY,CERTAIN,KIND,8380657875,PHYSIOTHERAPY,IMPORTANT
HLTH_PRV_019,Alexander Harper,Robert Campbell,TABLE,MARRIAGE,NEXT,HELP,2133480396,CHEMOTHERAPY,ECONOMIC
HLTH_PRV_020,Renee Wolfe,Alyssa Haynes,YOURSELF,OUT,ORGANIZATION,CHANGE,7842701039,MEDICATION,MEAN
HLTH_PRV_021,iThomas Harris,Mitchell Sellers,THREE,TROUBLE,GAME,ARTIST,2921851569,PHYSIOTHERAPY,FUTURE
HLTH_PRV_022,Christopher Fry,Toni Banks,CONTAIN,SECOND,OR,RULE,3926442209,SURGERY,COURT
HLTH_PRV_023,Tammy Ponce,Keith Zuniga,CHANCE,GLASS,SKILL,BANK,5521570433,MEDICATION,STOP
HLTH_PRV_024,Aaron Cruz,Tracy Wilkerson,MIND,UPON,HUMAN,HAVE,1793271040,SURGERY,BACK
HLTH_PRV_025,Stephen Martin,Tom Spence,GROUND,PHONE,POSITIVE,WALK,0629620153,SURGERY,SEVEN
HLTH_PRV_026,Kimberly Guerrero,Brendan Long,OFTEN,THOUGH,MILITARY,CLASS,5061497310,SURGERY,BEAT
HLTH_PRV_027,iBrian Glover,Steven Baker,QUALITY,OFF,IMPACT,CRIME,6527047743,SURGERY,CITY
HLTH_PRV_028,Mary Miller,Joshua Arellano,PERFORM,DREAM,ON,ASK,8687937416,PHYSIOTHERAPY,WEAR
HLTH_PRV_029,Laura Mcgrath,Travis Cole,COMPUTER,DEVELOPMENT,SYSTEM,DATA,0616329451,PHYSIOTHERAPY,INDUSTRY
HLTH_PRV_030,Shannon Stone,Alexandria Graves,PEOPLE,NECESSARY,STATION,KIND,6229991191,MEDICATION,UNDERSTAND
