beneficiary_party_identifier,beneficiary_full_name,beneficiary_relationship,nominee_indicator,beneficiary_share_percentage,party_role_type,related_life_customer_identifier,beneficiary_contact_channel,beneficiary_verification_status,trustee_or_nominee_reference
LIFE_BEN_001,Laurie Li,EARLY,GET,16.34,STAFF,CHOOSE,4228421020,INACTIVE,GAME
LIFE_BEN_002,Derek Martinez,KNOW,NEVER,26.99,BUILD,SKILL,7758917839,ACTIVE,LOW
LIFE_BEN_003,iAmanda Lutz,THROW,INTEREST,150.0,LAST,RICH,7711592124,iACTIVE,SEEM
LIFE_BEN_004,Zachary Schmidt,LONG,MOUTH,22.9,POINT,LAW,1836736576,ACTIVE,LATE
LIFE_BEN_005,David Mckay,RIGHT,WIND,80.5,MATTER,AUDIENCE,1161528098,INACTIVE,ITEM
LIFE_BEN_006,Maurice Christensen,TRIP,WHOLE,26.77,SET,APPROACH,9451983273,ACTIVE,HOLD
LIFE_BEN_007,Donald Perez,LAUGH,THROUGH,91.31,OPTION,SPEAK,9402445502,INACTIVE,AVAILABLE
LIFE_BEN_008,Mark Johnson,SKIN,NICE,21.26,DINNER,HOWEVER,7525459910,INACTIVE,APPEAR
LIFE_BEN_009,Denise Stanley,MENTION,POLICY,39.56,LETTER,JOIN,3815614978,INACTIVE,INDICATE
LIFE_BEN_010,iMrs. Christine Dougherty,SPEAK,CERTAIN,150.0,SOUTH,ESPECIALLY,5107622683,INVALID_STATUS,AWAY
LIFE_BEN_011,iPatrick Graham,MACHINE,WILL,150.0,BANK,TRAINING,9696641605,iACTIVE,THEORY
LIFE_BEN_012,Heidi Kim,BORN,EITHER,74.7,LEAST,PERFORM,8164535218,INACTIVE,DAUGHTER
LIFE_BEN_013,Hannah Luna,TELL,QUITE,89.78,TEACHER,CHOOSE,1243292127,INACTIVE,LIST
LIFE_BEN_014,Sonia Day,PROBABLY,FUTURE,36.2,TREAT,PRODUCT,2717744905,ACTIVE,MAIN
LIFE_BEN_015,Anthony Decker,BALL,QUITE,50.95,TREAT,TOP,9986798079,ACTIVE,MAYBE
LIFE_BEN_016,Tina Hayes,TALK,WAY,75.58,THIRD,GUN,8203778892,ACTIVE,IMPACT
LIFE_BEN_017,George Harper,STRATEGY,PROGRAM,15.28,RADIO,GOOD,5186449251,ACTIVE,FORCE
LIFE_BEN_018,Melissa Myers,PHYSICAL,SECTION,79.21,WRITER,BECOME,8652816850,INACTIVE,DIFFICULT
LIFE_BEN_019,Ralph Lee,CERTAIN,CLEAR,59.64,BANK,FIND,8880592962,INACTIVE,TABLE
LIFE_BEN_020,Michelle Williams,HIS,REQUIRE,38.16,SERVE,ECONOMY,9473834735,INACTIVE,SPECIFIC
LIFE_BEN_021,James Rose,COLOR,TECHNOLOGY,52.91,DECISION,SUDDENLY,4075818141,ACTIVE,WESTERN
LIFE_BEN_022,Sandra Davis,WHETHER,DOCTOR,68.03,TECHNOLOGY,LITTLE,0606853615,ACTIVE,WORD
LIFE_BEN_023,Miguel Rogers,CHILD,CERTAIN,68.17,AMERICAN,FEW,2779010432,INACTIVE,LAND
LIFE_BEN_024,Dwayne Turner,ANYONE,EDGE,76.86,KIND,PURPOSE,1179808932,INACTIVE,POSSIBLE
LIFE_BEN_025,Kenneth Lopez,RELATE,BED,11.16,NEED,HERSELF,8888806706,INACTIVE,HEAVY
LIFE_BEN_026,Haley Quinn,PRODUCTION,BODY,15.82,SPORT,PARTY,2058527722,ACTIVE,FINALLY
LIFE_BEN_027,Rick Blackwell,FOUR,WORKER,95.38,FORCE,MYSELF,8740345054,INACTIVE,VISIT
LIFE_BEN_028,Jeremiah Huber,GROUP,CULTURE,97.19,MODEL,ROLE,5841616928,ACTIVE,BASE
LIFE_BEN_029,iEdward Griffin,SERIES,LAST,150.0,COMPARE,ROAD,5705964016,UNKNOWN_X,ALLOW
LIFE_BEN_030,iLawrence Harrington,ALREADY,CARD,150.0,AUDIENCE,EAT,5690927557,INVALID_STATUS,NEXT
